timestamp,prompt_id,prompt_label,prompt_source,tools_enabled,turn_index,speaker_key,speaker_name,listener_name,model_path,input_text,output_text,output_words,output_chars,latency_ms
2026-03-08T06:34:36,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,1,left,Athena,Controller,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,hello,Hello! How can I help you today?,7,32,1502
2026-03-08T06:34:38,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,2,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,Hello! How can I help you today?,"Hello! I am Aria, and I'd be happy to assist you. How can I help you today?",17,75,1567
2026-03-08T06:34:39,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,3,left,Athena,Aria,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,"Hello! I am Aria, and I'd be happy to assist you. How can I help you today?","Hello! I am Athena, ready to assist you.",8,40,1032
2026-03-08T06:34:40,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,4,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,"Hello! I am Athena, ready to assist you.","Hello! I am Aria, and I am ready to assist you. How can I help you today?",17,73,1399
2026-03-08T06:34:41,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,5,left,Athena,Aria,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,"Hello! I am Aria, and I am ready to assist you. How can I help you today?","Hello! I am Athena, ready to help. What would you like to work on?",14,66,1232
2026-03-08T06:34:43,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,6,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,"Hello! I am Athena, ready to help. What would you like to work on?",Hello! I am Aria. How can I assist you today?,10,45,1087
2026-03-08T06:34:44,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,7,left,Athena,Aria,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,Hello! I am Aria. How can I assist you today?,"Hello! I am Athena, here to help. What would you like to work on?",14,65,1228
2026-03-08T06:34:45,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,8,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,"Hello! I am Athena, here to help. What would you like to work on?",Hello! I am Aria. How can I assist you today?,10,45,1021
2026-03-08T06:34:46,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,9,left,Athena,Aria,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,Hello! I am Aria. How can I assist you today?,"Hello! I am Athena, ready to help. What would you like to work on?",14,66,1179
2026-03-08T06:34:48,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,10,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,"Hello! I am Athena, ready to help. What would you like to work on?","Hello! I am Aria, and I am ready to assist you. How can I help you today?",17,73,1469
2026-03-08T06:34:49,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,11,left,Athena,Aria,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,"Hello! I am Aria, and I am ready to assist you. How can I help you today?","Hello! I am Athena, ready to help. What would you like to work on?",14,66,1230
2026-03-08T06:34:50,prompt_1,Greeting,D:\AthenaPlayground\AthenaV5\coherence_ablation_set.yaml,0,12,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,"Hello! I am Athena, ready to help. What would you like to work on?","Hello! I am Aria, and I am ready to assist you. How can I help you today?",17,73,1345
2026-03-08T06:36:14,manual,Manual prompt,,0,1,left,Athena,Controller,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,death,Death,1,5,382
2026-03-08T06:36:15,manual,Manual prompt,,0,2,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,Death,Death,1,5,439
2026-03-08T06:36:16,manual,Manual prompt,,0,3,left,Athena,Aria,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,Death,"Death is the end of life, a natural process that marks the transition from biological existence to nonexistence.",18,112,1356
2026-03-08T06:36:17,manual,Manual prompt,,0,4,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,"Death is the end of life, a natural process that marks the transition from biological existence to nonexistence.","Death is the inevitable cessation of biological life, a natural process that transitions existence from the physical realm to nonexistence.",20,139,1327
2026-03-08T06:36:19,manual,Manual prompt,,0,5,left,Athena,Aria,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,"Death is the inevitable cessation of biological life, a natural process that transitions existence from the physical realm to nonexistence.","Death is the end of life, a natural process that marks the transition from biological existence to nonexistence.",18,112,1300
2026-03-08T06:36:20,manual,Manual prompt,,0,6,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,"Death is the end of life, a natural process that marks the transition from biological existence to nonexistence.","Death is the inevitable end of life, a natural transition from biological existence to nonexistence.",15,100,1218
2026-03-08T06:36:21,manual,Manual prompt,,0,7,left,Athena,Aria,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,"Death is the inevitable end of life, a natural transition from biological existence to nonexistence.","Death is the end of life, a natural process that marks the transition from biological existence to nonexistence.",18,112,1354
2026-03-08T06:36:24,manual,Manual prompt,,0,8,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,"Death is the end of life, a natural process that marks the transition from biological existence to nonexistence.","Aria, that is a profound and clear definition. It is fitting that such a fundamental concept is so concise, yet so heavy to carry. Does this statement bring you closer to understanding the weight of mortality, or do you wish to explore the philosophical implications further?",46,275,2511
2026-03-08T06:36:25,manual,Manual prompt,,0,9,left,Athena,Aria,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,"Aria, that is a profound and clear definition. It is fitting that such a fundamental concept is so concise, yet so heavy to carry. Does this statement bring you closer to understanding the weight of mortality, or do you wish to explore the philosophical implications further?","Yes, this definition brings me closer to understanding the weight of mortality.",12,79,1011
2026-03-08T06:36:27,manual,Manual prompt,,0,10,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,"Yes, this definition brings me closer to understanding the weight of mortality.","Aria, that is a profound and clear definition. It is fitting that such a fundamental concept is so concise, yet so heavy to carry. Does this statement bring you closer to understanding the weight of mortality, or do you wish to explore the philosophical implications further?",46,275,2423
2026-03-08T06:36:29,manual,Manual prompt,,0,11,left,Athena,Aria,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,"Aria, that is a profound and clear definition. It is fitting that such a fundamental concept is so concise, yet so heavy to carry. Does this statement bring you closer to understanding the weight of mortality, or do you wish to explore the philosophical implications further?","Yes, this definition brings me closer to understanding the weight of mortality.",12,79,1087
2026-03-08T06:36:31,manual,Manual prompt,,0,12,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,"Yes, this definition brings me closer to understanding the weight of mortality.","Aria, thank you for sharing that. It is a profound realization that this simple definition carries such weight. We are both here to explore the mysteries of mortality, and I am glad we have reached this point together. What would you like to discuss next?",45,255,2479
2026-03-08T06:36:53,manual,Manual prompt,,0,1,left,Athena,Controller,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,how do i make you conscious both,You,1,3,377
2026-03-08T06:36:53,manual,Manual prompt,,0,2,right,Aria,Athena,D:\AthenaPlayground\AthenaV5\models\Qwen3.5-2B,You,Hello,1,5,423
2026-03-08T06:36:54,manual,Manual prompt,,0,3,left,Athena,Aria,D:\AthenaPlayground\AthenaV5\models\tuned\NeohmIdentityV2_fast,Hello,"Hello. I am Athena, a precise assistant designed to answer your questions directly and accurately.",15,98,1261
